"","id","datasource","abstract","title","author"
"1","df35c.9.10","urn:node:GOA","National Oceanic and Atmospheric Administration treatment effects studies from 1989 through 1997 suggested that bivalve assemblages on beaches in Prince William Sound treated with high-pressure washing were severely injured in terms of abundance, species composition, and function. Restoration Project 040574 assessed the generality and persistence of this apparent injury to this assemblage. We found that the initial conclusions were accurate, indicating that a considerable proportion of mixed-soft beaches in treated areas of the sound remained extremely disturbed and that these beaches are functionally impaired in terms of their ability to support foraging by humans and damaged nearshore vertebrate predators such as sea otters 13 years after the spill. Large, long-lived hard-shell clams remained 66% less abundant at Treated sites than at Reference sites. We also found that standard sediment properties did not appear implicated in lagging recovery. But, based on several lines of evidence, we deduced that a major cause for the delay was the disruption of surface armoring (a stratified organization of mixed-soft shoreline sediments common in southcentral Alaska), an effect of beach washing. Based on the apparent recovery trajectory, we predict that recovery to pre-spill status will take several more decades. We also found that sedimentary components and the biota in the armored mixed-soft sediments in Prince William Sound do not respond according to traditionally described paradigms for homogeneous sediments.
Citation: Lees, D. C., and W. B. Driskell.  2007.  Assessment of Bivalve Recovery on Treated Mixed-Soft Beaches in Prince William Sound, Alaska.  Exxon Valdez Oil Spill Restoration Project Final Report (Restoration Project 040574).  National Oceanic & Atmospheric Administration National Marine Fisheries Service, Office of Oil Spill Damage & Restoration, Auke Bay, Alaska.","Assessment of Bivalve Recovery on Treated Mixed-Soft Beaches In Prince William Sound","Dennis Lees"
"2","df35l.10.12","urn:node:GOA","The researchers examined hepatic EROD activity, as an indicator of CYP1A induction, in Barrow’s goldeneyes captured in areas oiled during the 1989 Exxon Valdez spill and those from nearby unoiled areas. We found that average EROD activity differed between areas during 2005, although the magnitude of the difference was reduced relative to a previous study from 1996/1997, and we found that areas did not differ by 2009. Similarly, we found that the proportion of individuals captured from oiled areas with elevated EROD activity (P2 times unoiled average) declined from 41% in winter 1996/1997 to 10% in 2005 and 15% in 2009. This work adds to a body of literature describing the timelines over which vertebrates were exposed to residual Exxon Valdez oil and indicates that, for Barrow’s goldeneyes in Prince William Sound, exposure persisted for many years with evidence of substantially reduced exposure by 2 decades after the spill.","Cytochrome P4501A biomarker in Barrow’s goldeneyes, USGS, US Fish and Wildlife, 2005 and 2009","Daniel Esler"
"3","df35j.46.11","urn:node:GOA","An assessment of damage to murre populations and reproductive performance due to the 1989 Exxon Valdez oil spill was conducted from 1989 to 1991. In 1992, we continued monitoring these parameters at three murre nesting colonies located in the path of the oil in an effort to begin measuring recovery. Numbers of murres were significantly reduced at all three study colonies following the spill. We found no recovery to pre-spill numbers. Timing of breeding and productivity of murres at the Barren Islands and Puale Bay returned to near normal levels in 1992. 

This dataset includes
1) Counts of murres at Barren Islands, Chiswell Islands, and Puale Bay.
2) Dates common murre eggs were first observed.
3) Common murre chicks per adult.","Population Levels and Reproductive Performance of Murres Based on Observations at Breeding Colonies, 1992","Don Dragoo"
"4","df35i.24.34","urn:node:GOA","We surveyed murres (Uria spp.) annually from 1989 through 1991 at breeding
colonies within the trajectory of the oil to determine whether numbers had declined and to
evaluate the effects of oil on nesting phenology and reproductive success, following the 1989
Exxon Valdez oil spill (EVOS). The colonies we surveyed contained the majority of the estimated
200,000 murres attending colonies in the affected area, and we found reduced numbers at all
study colonies following the spill. In addition, nesting was delayed and productivity rates
were far below normal following the spill. In contrast, numbers of murres did not decline and
reproductive parameters were normal at 2 colonies we surveyed outside the trajectory.
The only indication of recovery since the spill was a slight increase in reproductive success at
monitored colonies in 1991. The most likely cause of reduced numbers of murres at cliffs
following the oil spill was direct mortality from the oil. Since breeding murres were
congregating near colonies at the time of the spill, most murres killed were probably
experienced breeders. We concluded that reduced densities and skewed age structures were
the most likely causes of abnormal breeding after the spill.","Effects of EVOS on abundances and reproduction of Murre colonies, near PWS, coastal Kenai and Alaska Peninsulas, and Kodiak Island (1989-1991).","David Nysewander"
"5","df35l.7.11","urn:node:GOA","In this study, researchers measured PA450 1A responses in Barrow’s goldeneye from oiled and unoiled area of PWS, eight to nine year after the spill, to assess potential continuing exposure of these sea duck species to Exxon-Valdez oil. Due to their occurrence in nearshore habitats and consumption of benthic invertebrate prey, Barrow’s goldeneyes are particularly susceptible to continued exposre to residual Exxon-Valdez oil and thus, are potentially vulnerable to subsequent physiological and population level effects. Continued oil exposure through 1997 was indicated by higher induction of cytochrome P450 1A in birds from oiled areas than unoiled.","Cytochrome P4501A Induction in Sea Ducks Inhabiting Nearshore Areas of Prince William Sound, Alaska, US Fish and Wildlife, USGS, 1996","Kimberly Trust"
"6","df35d.16.34","urn:node:GOA","Study History: Comprehensive assessment of coastal habitat was initiated as Coastal Habitat Study No. 1 in 1989. Phase I was conducted in summer 1989/spring 1990 and involved site selection/ground truthing. Phase II involved intensive evaluation of study sites to determine extent of injury to natural resources in supratidal, intertidal and subtidal areas. Phase II commenced in the fall of 1989 and continued through the summer of 1991. The supratidal component was completed in 1991 and a final report was submitted separately. The subtidal portion was integrated into a suite of other subtidal studies and findings were also reported separately. Draft preliminary status reports were issued for the intertidal componenet in 1990, 1991, 1992 and 1993 by Highsmith et al. as Coastal Habitat Study No. 1: Phase II in 1990 and 1991 and No. 1A in 1992 and 1993.

Abstract: The Coastal Habitat Injury Assessment Study was initiated to assess injury to intertidal habitats impacted by the Exxon Valdez oil spill. The study, conducted from 1989-1991, encompassed three major geographical areas impacted by the spill: Prince William Sound, Cook Inlet-Kenia Peninsula and Kodiak-Alaska Peninsula. Oiled sites were selected randomly and matched with non-oiled sites and classified into sheltered rocky, exposed rocky, coarse textured or estuarine habitat. Statistically significant differences between oiled and non-oiled sites were interpreted as impact due to the spill and/or clean-up activities. Most observed differences varied across regions, habitats and tidal heights. Algae, especially the perennial Fucus, was generally negatively impacted on oiled sites. Conversely, an increase in annual and ephemeral species in the lower intertidal occurred. Limpets, mussels, littorines, and the high cockscomb prickleback were injured by the spill, while oligochaetes and a single barnacle species were enhanced at most tidal heights following the spill. Although intertidal communities showed widespread impact from oiling/clean-up activities for algal, invertebrate and fish components, data revealed most habitats were recovering but had fully recovered by 1991. 

Publications:
Highsmith, R.C., M.S. Stekoll, W.E. Barber, L. McDonald, D. Strickland and W.P. Erickson. 1994. Comprehensive assessment of coastal habitat, Exxon Valdez Oil Spill State/Federal Natural Resource Damage Assessment Final Report (Coastal Habitat Study Number 1A). School of Fisheries and Ocean Sciences, University of Alaska, Fairbanks, Alaska.","The Coastal Habitat Injury Assessment in Prince William Sound, Cook Inlet-Kenai Peninsula and Kodiak-Alaska Peninsula, Alaska: 1989 - 1991","Ray Highsmith"
"7","df35j.46.6","urn:node:GOA","An assessment of damage to murre populations and reproductive performance due to the 1989 Exxon Valdez oil spill was conducted from 1989 to 1991. In 1992, we continued monitoring these parameters at three murre nesting colonies located in the path of the oil in an effort to begin measuring recovery. Numbers of murres were significantly reduced at all three study colonies following the spill. We found no recovery to pre-spill numbers. Timing of breeding and productivity of murres at the Barren Islands and Puale Bay returned to near normal levels in 1992. 

This dataset includes
1) Counts of murres at Barren Islands, Chiswell Islands, and Puale Bay.
2) Dates common murre eggs were first observed.
3) Common murre chicks per adult.","Population Levels and Reproductive Performance of Murres Based on Observations at Breeding Colonies, 1992","Don Dragoo"
"8","df35j.75.6","urn:node:GOA","Phase I of the assessment of the Impacts of the Exxon Valdez oil spill on the Alaska Tourism Industry was designed as the first phase in a multi-phased process to identify the extent of harm and/or benefit of the spill on the tourism industry. The information compiled indicates the existence of spill impacts and the approximate extent of the harm and benefits experienced by businesses.","Economic Damages to Recreation: An Assessment of the Impact of the Exxon Valdez Oil Spill on the Alaska Tourism Industry","Edward Mills"
"9","df35d.16.29","urn:node:GOA","Study History: Comprehensive assessment of coastal habitat wa sinitiated as Coastal Habitat Study No. 1 in 1989. Phase I was conducted in summer 1989/spring 1990 and involved site selection/ground truthing. Phase II involved intensive evaluation of study sites to determine extent of injury to natural resources in supratidal, intertidal and subtidal areas. Phase II commenced in the fall of 1989 and continued through the summer of 1991. The supratidal component was completed in 1991 and a final report was submitted separately. The subtidal portion was integrated into a suite of other subtidal studies and findsings were also reported separately. Draft preliminary status reports were issued for the intertidal componenet in 1990, 1991, 1992 and 1993 by Highsmith et al. as Coastal Habitat Study No. 1: Phase II in 1990 and 1991 and No. 1A in 1992 and 1993.

Abstract: The CoastalHabitat Injury Assessment Study was initiated to assess injury to intertidal habitats impacted by the Exxon Valdez oil spill. The study, conducted from 1989-1991, encompassed three major geographical areas impacted by the spill: Prince William Sound, Cook Inlet-Kenia Peninsula and Kodiak-Alaska Peninsula. Oiled sites were selected randomly and matched with non-oiled sites and classified into sheltered rocky, exposed rocky, coarse textured or estuarine habitat. Statistically significant differences between oiled and non-oiled sites were interpreted as impact due to the spill and/or clean-up activities. Most observed differences varied across regions, habitats and tidal heights. Algae, especially the perennial Fucus, was generally negatively impacted on oiled sites. Conversely, an increase in annual and ephemeral species in the lower intertidal occurred. Limpets, mussels, littorines, and the high cockscomb prickleback were injured by the spill, while oligochaetes and a single barnacle species were enhanced at most tidal heights following the spill. Although intertidal communities showed widespread impact from oiling/clean-up activities for algal, invertebrate and fish components, data revealed most habitats were recovering but had fully recovered by 1991. 

Source:
Highsmith, R.C., M.S. Stekoll, W.E. Barber, L. McDonald, D. Strickland and W.P. Erickson. 1994. Comprehensive assessment of coastal habitat, Exxon Valdez Oil Spill State/Federal Natural Resource Damage Assessment Final Report (Coastal Habitat Study Number 1A). School of Fisheries and Ocean Sciences, University of Alaska, Fairbanks, Alaska.","The Coastal Habitat Injury Assessment in Prince William Sound, Cook Inlet-Kenai Peninsula and Kodiak-Alaska Peninsula, Alaska: 1989 - 1991","Ray Highsmith"
"10","df35j.8.21","urn:node:GOA","Evaluating the influence of fluctuating prey populations (e.g. forage fish) is critical to understanding the recovery of seabirds injured by the T/V Exxon Valdez oil spill; however, it is expensive to conduct annual  hydroacoustic and trawl surveys to assess forage fish stocks over broad regions. This project tests the feasibility and effectiveness of using stomach contents from sport-caught Pacific halibut and Pacific sand lance, two forage fish important to piscivorous seabirds. Results from 1995-1998 suggest that this simple-cost effective method can supply useful information on forage fish populations that can help monitor seasonal and interannual variations in forage fish stocks and seabird prey bases near nesting colonies. 

The data set describes
1. The frequencies of occurence of fish, invertebrates or neither in halibut stomachs from the total of Areas 2, 4, 6, 8, 10 in Kachemak Bay- lower Cook Inlet, 1995-1998.
2. The frequencies of occurence of fish and invertebrates in halibut stomachs identified and separated into common name categories from the total of Areas 2, 4, 6, 8, 10 in Kechemak Bay- lower Cook Inlet, 1995-1998.
3. The percentage of fish and invertebrates in halibut stomachs over the total of Areas 2, 4, 6, 8, 10 in Kachemak Bay- lower Cook Inlet, 1995-1998.
4. The percentages of fish in halibut stomachs from the total of and each individual area of Areas 2, 4, 6, 8, 10 in Kechemak Bay- lower Cook Inlet, 1995-1998.","Using Stomach Contents of Predatory Fish to Sample Forage Fishes in Kachemak Bay and Lower Cook Inlet, Alaska: 1995-1998",NA
